clean_date,hour,pm 2.5 (Plume AQI),pm 10 (Plume AQI)
2020-01-14,14,50.4,29.4
2020-01-14,15,41.7,23.3
2020-01-14,16,23.7,26.7
2020-01-14,17,13.5,20.2
2020-01-14,18,66.3,47.6
2020-01-14,19,89.9,64.3
2020-01-14,20,54.4,45.5
2020-01-14,21,30.5,25.7
2020-01-14,22,27.7,23.8
2020-01-14,23,24.1,19.6
2020-01-15,0,21.5,18.4
2020-01-15,1,16.1,14.6
2020-01-15,2,13.0,14.0
2020-01-15,3,11.6,11.8
2020-01-15,4,9.5,11.5
2020-01-15,5,10.7,15.3
2020-01-15,6,15.0,20.1
2020-01-15,7,24.0,42.6
2020-01-15,8,21.6,41.4
2020-01-15,9,28.3,29.8
2020-01-15,10,24.9,23.4
2020-01-15,11,22.2,37.6
2020-01-15,12,30.9,25.8
2020-01-15,13,25.2,14.9
2020-01-15,14,22.7,13.7
2020-01-15,15,16.1,18.2
2020-01-15,16,16.4,40.9
2020-01-15,17,18.2,32.0
2020-01-15,18,16.2,24.7
2020-01-15,19,15.6,16.2
2020-01-15,20,2.1,2.0
2020-01-15,21,2.0,2.0
2020-01-15,22,2.0,2.0
2020-01-15,23,2.0,2.0
2020-01-16,0,2.0,2.0
2020-01-16,1,2.0,2.0
2020-01-16,2,2.0,2.0
2020-01-16,3,2.0,2.0
2020-01-16,4,2.0,2.0
2020-01-16,5,2.7,2.4
2020-01-16,6,15.3,22.6
2020-01-16,7,9.8,19.9
2020-01-16,8,10.0,15.1
2020-01-16,9,10.3,16.9
2020-01-16,10,13.9,20.7
2020-01-16,11,9.0,19.2
2020-01-16,12,10.7,20.0
2020-01-16,13,13.3,20.3
2020-01-16,14,16.2,28.2
2020-01-16,15,14.9,32.0
2020-01-16,16,9.7,25.3
2020-01-16,17,7.4,19.3
2020-01-16,18,37.5,97.4
2020-01-16,21,16.9,18.2
2020-01-16,22,14.4,20.3
2020-01-16,23,14.6,19.2
2020-01-17,0,16.8,19.9
2020-01-17,1,15.4,20.7
2020-01-17,2,14.1,18.5
2020-01-17,3,12.4,19.7
2020-01-17,4,12.4,20.0
2020-01-17,5,13.8,23.4
2020-01-17,6,12.7,23.1
2020-01-17,7,10.4,20.6
