week,pollutant,AQI
2,NO2 (Plume AQI),10.929517825433685
3,NO2 (Plume AQI),8.848398106352526
4,NO2 (Plume AQI),5.9279524385328495
5,NO2 (Plume AQI),6.668822090178259
6,NO2 (Plume AQI),5.298660658405307
7,NO2 (Plume AQI),8.069257286117205
8,NO2 (Plume AQI),5.94320030026273
9,NO2 (Plume AQI),4.658880386629078
10,NO2 (Plume AQI),3.537605435801312
11,NO2 (Plume AQI),3.8098591549295775
12,NO2 (Plume AQI),3.809048806555041
13,NO2 (Plume AQI),2.460568777732957
14,NO2 (Plume AQI),2.3830175296382614
15,NO2 (Plume AQI),0.3736374646750101
16,NO2 (Plume AQI),3.082658439388096
17,NO2 (Plume AQI),7.241464928615766
18,NO2 (Plume AQI),7.978775079197466
19,NO2 (Plume AQI),5.228245067497404
20,NO2 (Plume AQI),3.729968518330456
21,NO2 (Plume AQI),5.23653962492438
22,NO2 (Plume AQI),3.5486453201970445
23,NO2 (Plume AQI),5.745818086774699
24,NO2 (Plume AQI),5.144845941242706
25,NO2 (Plume AQI),11.34374329255205
26,NO2 (Plume AQI),20.94800087393489
27,NO2 (Plume AQI),7.656288406390823
28,NO2 (Plume AQI),2.0210084033613445
29,NO2 (Plume AQI),2.2817890092258324
30,NO2 (Plume AQI),13.227319376026273
31,NO2 (Plume AQI),16.878871617731722
32,NO2 (Plume AQI),10.596584517844361
33,NO2 (Plume AQI),4.016734693877551
34,NO2 (Plume AQI),8.021518473406415
35,NO2 (Plume AQI),10.155405405405405
36,NO2 (Plume AQI),22.718854366966905
37,NO2 (Plume AQI),3.3323974731775796
38,NO2 (Plume AQI),4.484854815124295
39,NO2 (Plume AQI),2.3595957400565095
40,NO2 (Plume AQI),1.2563751028242391
2,VOC (Plume AQI),16.840732140417977
3,VOC (Plume AQI),16.04932291093251
4,VOC (Plume AQI),12.891273679967755
5,VOC (Plume AQI),12.032506116742399
6,VOC (Plume AQI),14.679684566278633
7,VOC (Plume AQI),11.504544030084613
8,VOC (Plume AQI),12.89866132866258
9,VOC (Plume AQI),15.095751107531212
10,VOC (Plume AQI),13.555646672914714
11,VOC (Plume AQI),12.954225352112676
12,VOC (Plume AQI),12.846930293314333
13,VOC (Plume AQI),14.771984671238403
14,VOC (Plume AQI),13.932617286452528
15,VOC (Plume AQI),13.886152603956399
16,VOC (Plume AQI),13.603419462655868
17,VOC (Plume AQI),13.447548106765984
18,VOC (Plume AQI),15.06441393875396
19,VOC (Plume AQI),13.668951194184839
20,VOC (Plume AQI),13.048339595815985
