Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,county_en,pop_11,deaths,deaths_100k,cases,cases_100k,case_fatality%,mortality%,lat,lng,uid
Αττική,Άγιον Όρος,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,Mount Athos,1811.0,0,0.0,5,276.1,0.0,0.000000000,40.2644928,24.2152731,EL128
Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,210802.0,19,9.0,820,389.0,2.3,0.009013197,38.7084386,21.3798928,EL231
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Π.Ε. Αργολίδας,Argolis,97044.0,0,0.0,393,405.0,0.0,0.000000000,37.6525404,22.858217,EL251
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Π.Ε. Αρκαδίας,Arcadia,86685.0,2,2.3,296,341.5,0.7,0.002307204,37.5557825,22.3337769,EL252
Ήπειρος,Περιφέρεια Ηπείρου,ΑΡΤΑΣ,Π.Ε. Άρτας,Arta,67877.0,2,2.9,232,341.8,0.9,0.002946506,39.1582421,20.9876839,EL211
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Attica,3828434.0,657,17.2,32239,842.1,2.0,0.017161064,38.0457568,23.8584737,EL300
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Π.Ε. Αχαϊας,Achaea,309694.0,18,5.8,1323,427.2,1.4,0.005812189,38.1158729,21.9522491,EL232
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΒΟΙΩΤΙΑΣ,Π.Ε. Βοιωτίας,Boeotia,117920.0,5,4.2,626,530.9,0.8,0.004240163,38.3663664,23.0965064,EL241
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Grevena,31757.0,31,97.6,604,1901.9,5.1,0.097616274,40.0837626,21.4273299,EL131
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Drama,98287.0,140,142.4,2741,2788.8,5.1,0.142439997,41.1502273,24.1469489,EL114
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Dodecanese,190988.0,0,0.0,517,270.7,0.0,0.000000000,36.4029176,27.9285982,EL421
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΕΒΡΟΥ,Π.Ε. Έβρου,Evros,147947.0,34,23.0,1830,1236.9,1.9,0.022981203,41.2443761,26.1359431,EL111
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΕΥΒΟΙΑΣ,Π.Ε. Ευβοίας,Euboea,210815.0,3,1.4,405,192.1,0.7,0.001423049,38.5236036,23.8584737,EL242
