date,region_unit,area,address,total_tests,positive_tests,male,female,median_age,lat,long,positivity
11/19/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",201,89,50.0,39.0,43.0,41.143870299999996,24.8942076,44.3
11/6/20,Π.Ε. Γρεβενών,,Πλατεία Δεσκάτης,89,28,13.0,15.0,49.0,39.9257032,21.8101429,31.5
11/23/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",150,44,26.0,18.0,45.0,41.143870299999996,24.8942076,29.3
11/6/20,Π.Ε. Πιερίας,,Πλατεία Λόφου,34,8,5.0,3.0,66.0,34.816485,32.8754261,23.5
11/13/20,Π.Ε. Δράμας,Δράμα,Πάρκο Κομνηνών,20,4,3.0,1.0,51.0,41.1522679,24.122754800000003,20.0
11/16/20,Π.Ε. Δράμας,Δράμα,Οδός Δράμας - Καβάλας,167,33,,,,41.0392032,24.2644798,19.8
11/17/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",302,49,24.0,25.0,44.0,41.143870299999996,24.8942076,16.2
11/25/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",115,16,10.0,6.0,51.0,41.143870299999996,24.8942076,13.9
11/23/20,Π.Ε. Καστοριάς,Καστοριά,"Λεωφόρος Κύκνων 31, Καστοριά",54,7,3.0,4.0,38.0,40.5171357,21.255256,13.0
11/25/20,Π.Ε. Πέλλας,Γιαννιτσά,Λαϊκή Αγορά Γιαννιτσών,379,48,7.0,21.0,48.0,40.796986,22.4126696,12.7
11/19/20,Π.Ε. Μαγνησίας,Βόλος,Βόλος,368,44,24.0,20.0,48.0,39.366584,22.950676899999998,12.0
10/21/20,Π.Ε. Σερρών,Σέρρες,Σέρρες,271,32,21.0,11.0,34.0,41.0863854,23.5483819,11.8
11/16/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",258,30,15.0,15.0,44.0,41.143870299999996,24.8942076,11.6
10/23/20,Π.Ε. Χίου ,Χίος,"ΚΦΠΜ, ΚΥΤ ΒΙΑΛ",327,38,,,,38.3232673,26.0922172,11.6
11/20/20,Π.Ε. Ξάνθης,Ξάνθη,"Γήπεδο ΑΟΞ, γέφυρα Κοσύνθου",130,14,9.0,5.0,40.0,41.143870299999996,24.8942076,10.8
11/20/20,Π.Ε. Δράμας,Δράμα,Δράμα,212,23,10.0,13.0,51.0,41.1502273,24.1469489,10.8
11/25/20,Π.Ε. Καρδίτσας,Καρδίτσα,Περιφερειακός Καρδιτσομαγούλας,341,35,25.0,10.0,39.0,39.3915625,21.9245288,10.3
11/24/20,Π.Ε. Θεσσαλίας,Νεάπολη,"Σκεπαστή αγορά Νεάπολης, Λάρισα",478,47,26.0,21.0,47.0,39.6189242,22.4028242,9.8
11/23/20,Π.Ε. Δράμας,Δράμα,80ο χιλιόμετρο Δράμας-Νευροκοπίου,114,11,5.0,6.0,48.0,41.34566220000001,23.9060624,9.6
