Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,county_en,pop_11,deaths,deaths_100k,cases,cases_100k,case_fatality%,mortality%,lat,lng,uid
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΠΕΛΛΑΣ,Π.Ε. Πέλλας,Pella,139680.0,208,148.9,3960,2835.1,5.3,0.149,40.9148039,22.1430215,EL124
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Drama,98287.0,140,142.4,2741,2788.8,5.1,0.142,41.1502273,24.1469489,EL114
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΠΙΕΡΙΑΣ,Π.Ε. Πιερίας,Pieria,126698.0,148,116.8,2782,2195.8,5.3,0.117,40.2669099,22.4768287,EL125
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΣΕΡΡΩΝ,Π.Ε. Σερρών,Serres,176430.0,184,104.3,3265,1850.6,5.6,0.104,41.0863854,23.5483819,EL126
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΚΙΛΚΙΣ,Π.Ε. Κιλκίς,Kilkis,80419.0,79,98.2,1632,2029.4,4.8,0.098,40.9937071,22.8753674,EL123
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΗΜΑΘΙΑΣ,Π.Ε. Ημαθίας,Imathia,140611.0,138,98.1,2651,1885.3,5.2,0.098,40.6060067,22.1430215,EL121
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Grevena,31757.0,31,97.6,604,1901.9,5.1,0.098,40.0837626,21.4273299,EL131
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΚΑΒΑΛΑΣ,Ν. Καβάλας,Kavala,138687.0,96,69.2,1910,1377.2,5.0,0.069,40.937607,24.412866,EL115
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΘΕΣΣΑΛΟΝΙΚΗΣ,Π.Ε. Θεσσαλονίκης,Thessaloniki,1110551.0,750,67.5,26443,2381.1,2.8,0.068,40.6400629,22.9444191,EL122
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΦΛΩΡΙΝΑΣ,Π.Ε. Φλώρινας,Florina,51414.0,31,60.3,968,1882.8,3.2,0.060,40.7845262,21.4131222,EL134
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΚΑΣΤΟΡΙΑΣ,Π.Ε. Καστοριάς,Kastoria,50322.0,30,59.6,755,1500.3,4.0,0.060,40.5192691,21.2687171,EL132
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΧΑΛΚΙΔΙΚΗΣ,Π.Ε. Χαλκιδικής,Chalkidiki,107719.0,60,55.7,1737,1612.5,3.5,0.056,40.3694997,23.287085,EL127
Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΞΑΝΘΗΣ,Π.Ε. Ξάνθης,Xanthi,111222.0,60,53.9,1991,1790.1,3.0,0.054,41.1362513,24.8877024,EL112
