uid,Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,unit,county_en,est_pop,DEATHS_L1,DEATHS_L2,l1_100k,l2_100k,mortality_100k,pct_change,diff,diff_100k
EL231,Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π.Ε. Αιτωλοακαρνανίας,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,198920,22,44,11.1,22.1,22.11945,100.0,22,11.1
EL251,Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Π.Ε. Αργολίδας,Π.Ε. Αργολίδας,Argolis,96156,0,5,0.0,5.2,5.19988,,5,5.2
EL252,Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Π.Ε. Αρκαδίας,Π.Ε. Αρκαδίας,Arcadia,80916,2,4,2.5,4.9,4.94340,100.0,2,2.5
EL211,Ήπειρος,Περιφέρεια Ηπείρου,ΑΡΤΑΣ,Π.Ε. Άρτας,Π.Ε. Άρτας,Arta,62091,2,7,3.2,11.3,11.27378,250.0,5,8.1
EL300,Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Περιφέρεια Αττικής,Attica,3738901,666,1061,17.8,28.4,28.37732,59.3,395,10.6
EL232,Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Π.Ε. Αχαϊας,Π.Ε. Αχαϊας,Achaea,296945,18,32,6.1,10.8,10.77641,77.8,14,4.7
EL241,Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΒΟΙΩΤΙΑΣ,Π.Ε. Βοιωτίας,Π.Ε. Βοιωτίας,Boeotia,122969,8,19,6.5,15.5,15.45105,137.5,11,8.9
EL131,Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Π.Ε. Γρεβενών,Grevena,30629,32,47,104.5,153.4,153.44935,46.9,15,49.0
EL114,Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Π.Ε. Δράμας,Drama,96925,140,224,144.4,231.1,231.10653,60.0,84,86.7
EL421,Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Ν. Δωδεκανήσου,Dodecanese,220683,0,9,0.0,4.1,4.07825,,9,4.1
EL111,Θράκη,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΕΒΡΟΥ,Π.Ε. Έβρου,Π.Ε. Έβρου,Evros,147091,35,73,23.8,49.6,49.62914,108.6,38,25.8
EL242,Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΕΥΒΟΙΑΣ,Π.Ε. Ευβοίας,Π.Ε. Ευβοίας,Euboea,213190,4,12,1.9,5.6,5.62878,200.0,8,3.8
EL243,Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΕΥΡΥΤΑΝΙΑΣ,Π.Ε. Ευρυτανίας,Π.Ε. Ευρυτανίας,Evrytania,18579,2,5,10.8,26.9,26.91211,150.0,3,16.1
EL221,Νησιά Ιονίου Πελάγους,Περιφέρεια Ιονίων Νήσων,ΖΑΚΥΝΘΟΥ,Π.Ε. Ζακύνθου,Π.Ε. Ζακύνθου,Zakynthos,39621,3,3,7.6,7.6,7.57174,0.0,0,0.0
EL233,Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΗΛΕΙΑΣ,Π.Ε. Ηλείας,Π.Ε. Ηλείας,Elis,155200,8,12,5.2,7.7,7.73196,50.0,4,2.6
EL121,Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΗΜΑΘΙΑΣ,Π.Ε. Ημαθίας,Π.Ε. Ημαθίας,Imathia,141789,140,201,98.7,141.8,141.75994,43.6,61,43.0
EL431,Κρήτη,Περιφέρεια Κρήτης,ΗΡΑΚΛΕΙΟΥ,Π.Ε. Ηρακλείου,Π.Ε. Ηρακλείου,Herakleion,315162,12,23,3.8,7.3,7.29783,91.7,11,3.5
