Έτος,Δάσος,Δασική Έκταση,Άλσος,Χορτ/κή Έκταση,Βάλτος,Γεωργική Έκταση,Υπολ. Καλλιεργειών,Σκουπιδότοποι
2000,66.1,233.2,0.0,1482.9,59.4,20.1,6.4,1.5
2001,4131.2,10567.2,5.1,2723.5,1258.5,3551.5,69.8,98.4
2002,1490.5,4512.5,12.9,3498.8,3357.0,1653.2,879.6,693.0
2003,362.8,855.3,0.9,759.5,356.6,158.5,302.4,39.7
2004,205.9,1284.4,11.1,1926.0,837.1,441.8,134.4,54.6
2005,435.8,1526.9,0.1,1949.7,871.8,601.8,456.8,35.1
2006,75.8,594.0,2.0,698.6,398.3,156.6,190.8,226.7
2007,219.0,3039.8,3.3,1900.2,1551.0,763.8,184.2,108.8
2008,2289.1,3755.2,2.0,2285.7,2231.7,1220.8,139.3,62.6
2009,40.8,393.7,0.5,512.6,536.3,172.2,71.7,19.0
2010,432.6,683.7,0.7,1144.4,195.9,237.7,27.1,50.4
2011,141.8,776.1,3.4,1460.0,724.1,317.6,288.8,12.2
2012,1024.3,5101.2,9.2,4344.0,2437.8,1269.2,1483.6,83.7
2013,286.9,2881.7,0.2,803.3,401.5,1359.6,116.4,101.1
2014,313.1,1896.0,1.3,1501.0,1331.2,230.2,92.1,16.9
2015,521.7,1103.8,0.3,1681.8,882.3,496.6,413.5,42.5
2016,444.3,3604.9,6.0,2051.9,1471.8,666.2,103.8,77.3
2017,636.4,2276.6,2.0,3838.1,2041.6,1028.6,300.1,13.4
2018,134.8,3009.9,0.0,2389.1,839.4,617.2,84.4,13.0
2019,1292.9,5190.5,5.1,6527.7,2772.4,2985.1,698.8,35.5
