Νομός,Στρέμματα
ΕΥΒΟΙΑΣ,35546.81999999999
ΛΑΡΙΣΑΣ,31630.09999999999
ΠΕΛΛΑΣ,9053.93
ΚΟΖΑΝΗΣ,7375.05
ΖΑΚΥΝΘΟΥ,7124.160000000001
ΛΑΚΩΝΙΑΣ,6253.150000000001
ΙΩΑΝΝΙΝΩΝ,5968.16
ΒΟΙΩΤΙΑΣ,4763.73
ΑΤΤΙΚΗΣ,3972.78
ΚΟΡΙΝΘΙΑΣ,3672.11
ΦΘΙΩΤΙΔΑΣ,3303.94
ΚΑΡΔΙΤΣΑΣ,3157.850000000001
ΚΙΛΚΙΣ,2897.8999999999996
ΗΛΕΙΑΣ,2595.3199999999997
ΚΥΚΛΑΔΩΝ,2384.3700000000003
ΕΒΡΟΥ,2073.06
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2019.48
ΦΛΩΡΙΝΑΣ,1907.35
ΠΙΕΡΙΑΣ,1760.4300000000003
ΠΡΕΒΕΖΗΣ,1689.3
ΞΑΝΘΗΣ,1557.6500000000003
ΚΑΣΤΟΡΙΑΣ,1224.1500000000003
ΗΜΑΘΙΑΣ,1180.6200000000001
ΔΡΑΜΑΣ,1172.97
ΜΕΣΣΗΝΙΑΣ,1143.6100000000001
ΑΡΤΑΣ,1083.9099999999999
ΡΟΔΟΠΗΣ,1039.1700000000005
ΚΕΦΑΛΛΟΝΙΑΣ,1002.51
ΔΩΔΕΚΑΝΗΣΩΝ,995.87
ΣΑΜΟΥ,985.1399999999996
ΜΑΓΝΗΣΙΑΣ,973.3300000000002
ΘΕΣΣΑΛΟΝΙΚΗΣ,899.0699999999996
ΤΡΙΚΑΛΩΝ,882.38
ΣΕΡΡΩΝ,855.62
ΑΧΑΙΑΣ,826.38
ΘΕΣΠΡΩΤΙΑΣ,820.0100000000001
ΕΥΡΥΤΑΝΙΑΣ,760.7199999999999
ΦΩΚΙΔΟΣ,701.94
ΛΕΣΒΟΥ,661.8900000000001
ΑΡΓΟΛΙΔΟΣ,620.15
ΑΡΚΑΔΙΑΣ,593.4899999999999
ΓΡΕΒΕΝΩΝ,581.1299999999999
ΚΕΡΚΥΡΑΣ,556.3999999999997
ΡΕΘΥΜΝΟΥ,506.29
ΚΑΒΑΛΑΣ,482.9700000000001
ΧΑΛΚΙΔΙΚΗΣ,393.07
ΧΙΟΥ,339.53999999999996
ΗΡΑΚΛΕΙΟΥ,279.09
ΧΑΝΙΩΝ,257.52000000000004
ΛΑΣΙΘΙΟΥ,194.07000000000002
ΛΕΥΚΑΔΟΣ,38.8
