AREA_SIZE,x,y,price
200.0,2919400.5604000017,4528292.596699998,2400.0
15.0,2919406.809700001,4528285.111599997,3825.0
310.0,2712469.5427,4190044.4881,3596.58
250.0,2518314.159600001,4865015.861100003,
240.0,2511470.395399999,4881457.870899998,265.19
15.0,2439943.8126000017,4634748.0348000005,330.0
73.801,2367159.587099999,4941609.974600002,738.0
300.0,2796652.145799998,4844326.156900004,
300.0,2521782.7712000012,4862762.308200002,455.79
133.0,2848022.9921999983,4164345.814199999,1995.0
120.0,2368216.221000001,4941147.9113000035,1200.0
133.0,2847995.090999998,4164348.155400001,1995.0
500.0,2515574.0568999983,4867263.789099999,533.28
2025.78,2519779.765299998,4863814.407200001,2970.85
250.0,2518301.667800002,4865000.744400002,
128.0,2906463.352499999,4191791.5560000017,1920.0
100.0,2903553.3713999987,4658795.695500001,1442.0
243.0,2440073.919399999,4634951.404299997,1215.0
85.93,2367333.2688999996,4941308.4177,1074.13
350.48,2440093.7452999987,4634986.067500003,2190.5
360.0,2440046.3007000014,4634908.096299998,
270.0,2612412.2443999983,4536776.208999999,
90.02,2612432.3748000003,4536776.776000001,
20.04,2612422.4125999995,4536764.800999999,
309.17,2611419.743999999,4539896.480999999,
68.63,2611431.298300002,4539861.999300003,
125.82,2521576.6149999984,4862791.546899997,191.16
500.0,2515658.3541,4867175.4428,759.66
257.64,2577205.867899999,4534180.684299998,3864.6
1050.0,2519731.1281999983,4863884.170000002,11550.0
82.67,2517741.1613,4865360.294399999,909.37
63.151,2367115.004900001,4941665.974600002,631.5
483.85,2515481.625,4867365.186899997,534.63
54.67,2863356.2580000013,4199842.485100001,
143.74,2512976.1843999997,4408608.998899996,1724.88
200.0,2949071.1356999986,4718389.193599999,1400.0
553.8000000000001,2440209.9767000005,4635170.4548999965,6000.0
646.1,2440178.790100001,4635120.390500002,6000.0
73.85000000000001,2517883.236299999,4865272.442699999,812.35
128.0,2517876.4576000012,4865276.744400002,
108.0,2427409.8550999984,4412183.141199999,945.0
82.7,2464741.3825999983,4434235.802000001,1343.875
146.92000000000002,2464998.9354000017,4429737.069799997,2246.346
300.0,2406255.1427000016,4627983.1853,
15.0,2613950.0161000006,4903830.577500001,
500.0,2370217.1319999993,4547160.6523,7500.0
500.0,2511493.9499000013,4401676.1699,6900.0
200.12,2212006.570700001,4825121.172200002,
394.29,2186730.295000002,4830734.254299998,9857.25
200.0,2531258.9452,4846588.439300001,2000.0
500.0,2602475.310600002,4904759.105899997,
322.0,2454666.1886,4618634.2907000035,2097.43
111.0,2956599.4974999987,4724338.5964,
1.0,2891356.466400001,4168973.6922999993,
500.0,2619331.0447999984,4649810.2245000005,6000.0
142.0,2917424.5425000004,4751244.500500001,0.0
142.0,2886411.183699999,4741088.7651999965,0.0
178.83,2465468.148699999,4610464.322999999,722.97
500.0,2619672.993900001,4650111.299999997,6000.0
1.0,2848272.9736,4164320.6072999984,
160.0,2573983.7699000016,4786795.591300003,
1000.0,2878484.5694000013,4989449.009900004,12500.0
1000.0,2878399.0489999987,4989476.2211000025,12500.0
400.0,2521086.976300001,4863064.4111,4400.0
