unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
600ΠΩΕΤ-Ζ11,360.0,30.0,51.594454586297864,2514636.207899999,4901258.885799997,12.0
600ΩΩ9Ζ-6ΝΤ,218.0,54.501000000000005,88.87234171284024,2450626.2082,4634899.805,4.0
603ΤΗ-Φ6Ο,1904.75,200.501,320.3626062422116,2373148.976399999,4536544.381899998,9.0
6042ΩΕΤ-ΓΨ7,1308.0,109.0,187.17018497736103,2515418.054299999,4904255.846699998,12.0
605ΩΗ-01Ρ,896.4,39.84,39.15687127761376,2544831.1807000004,4512014.9542,22.0
6066Ω9Ζ-Ζ53,346.8,86.70100000000001,141.13016184675175,2474450.1755000018,4630277.225599997,4.0
606ΑΗ-Α7Μ,1295.0,129.501,155.91014683914608,2585177.105300002,4487445.945600003,10.0
6080ΩΨΓ-6ΣΨ,8033.33,15.0,23.844227367729783,2350077.5317,4563776.221500002,536.0
6099Ω1Ψ-ΔΤΑ,750.0,15.0,22.61593269856531,2710147.355799999,4211679.459600002,50.0
6099ΩΚ1-ΩΟΣ,2779.0,341.0,561.3728773333687,2545621.455050001,4686470.800049998,8.0
60Γ4Η-699,1404.0,108.0,162.58033337812554,2831273.127700001,4203767.286200002,13.0
60Γ7ΩΨΤ-Φ67,7500.0,500.0,753.0399453974209,2704833.2388000004,4212022.036899999,15.0
60ΔΗΩΡΡ-ΗΘΝ,850.0,80.0,127.00106562156452,2572750.752799999,4488062.393200003,11.0
60ΕΚΗ-Ι3Ε,5441.632,400.0,600.9390001278787,2716144.7386999987,4189077.753899999,14.0
60ΕΠΟΞΔ1-Α4Θ,828.75,101.11,163.06020276573037,2557627.202399999,4575759.579400003,8.0
60Η8Η-ΗΩΒ,3249.3,231.22,372.9097191336989,2586796.0286999997,4575815.738450002,14.0
60ΝΓΩΛΣ-ΖΥΧ,1500.0,150.0,225.75533471338812,2792778.0967000015,4209842.860399999,10.0
60ΝΚΩ9Ζ-0Τ9,404.32,101.081,164.69520223814487,2474336.7324,4630165.783200003,4.0
60ΞΞΗ-Χ1Υ,525.4305,64.47,96.60814697676562,2735897.8966999985,4178094.592600003,8.0
60ΠΘΩ9Ω-ΔΙΔ,4250.0,500.0,872.640919797173,2638808.7753,4969844.2663,8.0
60ΠΨΩΗΜ-5Κ2,418.0,38.0,41.5632973583568,2812994.979499999,4209208.7201000005,11.0
60ΡΗΩΡΡ-Τ6Μ,2775.0,185.0,275.3571706504905,2582342.5874999985,4479949.811399996,15.0
60Τ146Ν0Ω3-ΥΟΦ,8200.664999999999,497.01,799.7765727783748,2674280.4607000016,4561179.1586000025,16.0
60Τ5ΩΨΤ-ΚΣ7,6000.0,400.0,603.1833493528188,2704792.8751000017,4212029.998199999,15.0
60ΤΖΗ-ΡΣΘ,2961.5,250.0,402.169284335263,2559449.911899999,4562484.003399998,12.0
60Υ1ΩΚΨ-65Σ,2060.0,25.151,37.74444178603946,2861945.6999999993,4187929.337099999,82.0
60Υ3Η-ΦΗΨ,48323.2,2416.161,4088.761655316543,2206383.3982999995,4836986.010700002,20.0
60ΥΖΩΛΡ-Κ1Τ,2080.0,208.0,339.2218932986323,2670361.9272999987,4636323.677199997,10.0
60Χ7Η-ΠΛ4,930.0,37.2,59.63945969571277,2600483.8205000013,4538575.816500001,25.0
60Ψ3ΩΡ9-0Β4,637.0,63.701,103.9307726717023,2658901.864599999,4634816.013800003,10.0
60Ω4ΩΕΤ-7ΝΟ,612.0,51.0,88.72514665848841,2515484.292100001,4904454.480499998,12.0
610ΦΩΡΖ-Κ6Ζ,3600.0,500.0,813.7077085769295,2349018.4827999994,4628830.245899998,7.0
611ΓΩΗΜ-ΝΚΛ,1764.0,126.0,190.06312446960243,2809263.125799998,4208870.8134,14.0
611ΡΗ-3ΑΛ,3124.44,260.37,447.9602503105792,2515723.6708999984,4905372.227799997,12.0
6123Η-50Η,1104.0,80.0,124.8382082852654,2511734.273400001,4401745.4169000015,14.0
613ΓΗ-ΘΓΟ,436.5,69.84,113.83746837926125,2439999.7278499994,4634834.941750001,6.0
