AREA_SIZE,AREA_SIZE,x,y,polygons,price
1050.0,1050.0,2519731.1281999983,4863884.170000002,"POLYGON ((2519727.342599999 4863911.7206000015, 2519764.8773999996 4863875.361900002, 2519736.997200001 4863856.989299998, 2519696.5747999996 4863891.446099997, 2519727.342599999 4863911.7206000015))",11550.0
250.0,250.0,2518314.159600001,4865015.861100003,"POLYGON ((2518313.3112000003 4865025.075000003, 2518323.336599998 4865016.7214, 2518315.0161999986 4865006.643399999, 2518304.9776999988 4865015.0097, 2518313.3112000003 4865025.075000003))",
200.86355,200.86355,3141631.535100002,4363437.294,"POLYGON ((3141627.733600002 4363452.646200001, 3141643.9635000005 4363427.769699998, 3141642.5889 4363426.421499997, 3141640.8817999996 4363424.8510000035, 3141636.9714 4363421.719499998, 3141618.7021999992 4363445.376599997, 3141627.733600002 4363452.646200001))",
199.93890002,199.93890002,3138605.3526999988,4359194.069899999,"POLYGON ((3138622.898499999 4359207.361400001, 3138593.8269999996 4359176.479800001, 3138588.3209999986 4359181.992200002, 3138617.5155999996 4359211.7095, 3138622.898499999 4359207.361400001))",
800.00680006,800.00680006,3138584.3940000013,4359209.7236,"POLYGON ((3138538.9842999987 4359176.236100003, 3138622.601500001 4359251.4542, 3138630.403000001 4359243.934600003, 3138546.1772000007 4359167.845899999, 3138538.9842999987 4359176.236100003))",
202.52119994,202.52119994,3135474.7421000004,4358733.778099999,"POLYGON ((3135508.4930000007 4358724.699199997, 3135507.4769 4358720.119900003, 3135439.0648000017 4358743.865800001, 3135440.541000001 4358747.602600001, 3135508.4930000007 4358724.699199997))",
20.0,20.0,2602485.133299999,4717100.159900002,"POLYGON ((2602482.653499998 4717106.2491, 2602489.754999999 4717095.4969, 2602487.6132000014 4717094.070799999, 2602480.5117000006 4717104.823100001, 2602482.653499998 4717106.2491))",160.0
2025.78,2025.78,2519779.765299998,4863814.407200001,"POLYGON ((2519748.680399999 4863865.282899998, 2519832.9299999997 4863784.036200002, 2519813.8434999995 4863764.318599999, 2519781.3847000003 4863790.508900002, 2519783.143199999 4863792.329099998, 2519727.3748000003 4863840.609300002, 2519748.680399999 4863865.282899998))",2970.85
42.48115,42.48115,3138755.2115,4359360.888999999,"POLYGON ((3138761.101500001 4359359.266199999, 3138756.669500001 4359354.923699997, 3138749.3176999986 4359362.511, 3138753.7621 4359366.853, 3138761.101500001 4359359.266199999))",
270.0,270.0,2612412.2443999983,4536776.208999999,"POLYGON ((2612389.3586999997 4536763.8662, 2612398.3330000006 4536771.208700001, 2612411.285700001 4536778.409100004, 2612422.8528000005 4536789.481799997, 2612429.8729999997 4536798.5123, 2612434.4186999984 4536794.061999999, 2612427.5489000008 4536785.209899999, 2612416.0069999993 4536774.162699997, 2612413.693 4536772.501000002, 2612416.9349999987 4536770.845700003, 2612405.3286999986 4536762.245499998, 2612401.8858999982 4536765.928599998, 2612393.162900001 4536758.803099997, 2612389.3586999997 4536763.8662))",
90.02,90.02,2612432.3748000003,4536776.776000001,"POLYGON ((2612426.127799999 4536777.658500001, 2612436.476599999 4536785.338600002, 2612440.6180000007 4536783.1558, 2612434.8271000013 4536771.126999997, 2612431.507199999 4536768.685999997, 2612423.6422999986 4536772.825800002, 2612426.127799999 4536777.658500001))",
20.04,20.04,2612422.4125999995,4536764.800999999,"POLYGON ((2612421.4441 4536768.552599996, 2612427.282200001 4536765.567900002, 2612421.082699999 4536761.018299997, 2612418.646400001 4536763.096699998, 2612421.4441 4536768.552599996))",
125.82,125.82,2521576.6149999984,4862791.546899997,"POLYGON ((2521567.7190999985 4862786.449199997, 2521573.331700001 4862801.563299999, 2521585.5452999994 4862796.992600001, 2521579.6996 4862781.249300003, 2521567.7190999985 4862786.449199997))",191.16
500.0,500.0,2515658.3541,4867175.4428,"POLYGON ((2515661.4239000008 4867175.626800001, 2515657.1739999987 4867172.591499999, 2515655.2842999995 4867175.258900002, 2515659.5341 4867178.294299997, 2515661.4239000008 4867175.626800001))",759.66
257.64,257.64,2577205.867899999,4534180.684299998,"POLYGON ((2577215.971500002 4534193.297600001, 2577211.214200001 4534174.8851, 2577207.7025999986 4534168.108900003, 2577204.9701999985 4534161.732799999, 2577195.9089 4534165.656400003, 2577204.6259000003 4534199.938600004, 2577215.971500002 4534193.297600001))",3864.6
