NOMOS,price_sum,price_median,area_sum,area_median,price_per_sqm
ΧΑΛΚΙΔΙΚΗΣ,1892546.8816,3000.0,33928.89,110.965,55.8
ΙΩΑΝΝΙΝΩΝ,14976.599999999999,4581.9,346.49,119.59,43.2
ΠΕΙΡΑΙΩΣ,111236.83,3400.0,2984.117,80.0,37.3
ΚΕΡΚΥΡΑΣ,1009418.65,3571.38,28421.574,117.05000000000001,35.5
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,254789.88,5940.0,8433.185,192.09,30.2
ΑΤΤΙΚΗΣ,396107.67699999997,4974.9,14095.067000000001,246.7,28.1
ΚΥΚΛΑΔΩΝ,1084706.336,3200.0,42534.246,200.0,25.5
ΛΑΣΙΘΙΟΥ,1278025.5352,2250.825,62601.583,124.5,20.4
ΧΙΟΥ,227855.99,2625.66,11473.512,117.4755,19.9
ΡΕΘΥΜΝΟΥ,1791215.9097,4303.0375,94252.16,257.115,19.0
ΧΑΝΙΩΝ,833872.799,5761.735000000001,44864.092,281.1705,18.6
ΛΑΚΩΝΙΑΣ,324322.178,2999.1,18411.96,200.0,17.6
ΑΤΤΙΚΗ,2805.0,2805.0,170.0,170.0,16.5
ΚΟΡΙΝΘΙΑΣ,338574.4725,2598.75,21985.31,180.0,15.4
ΑΡΓΟΛΙΔΟΣ,199900.68,1424.5900000000001,13745.12,87.96600000000001,14.5
ΦΘΙΩΤΙΔΑΣ,125111.1355,1030.68,8784.735,87.44,14.2
ΜΕΣΣΗΝΙΑΣ,201240.5955,2158.2000000000003,14218.16,152.335,14.2
ΑΡΙΣΤΟΤΕΛΗ,9321.32,2000.0,660.11,110.11,14.1
ΣΑΜΟΥ,534562.86,1620.0,38219.288,101.0,14.0
ΗΡΑΚΛΕΙΟΥ,2034888.03,3757.0,147091.53,250.0,13.8
ΘΕΣΣΑΛΟΝΙΚΗΣ,523668.28,2652.0,40422.577,171.0,13.0
ΗΛΕΙΑΣ,330459.52999999997,3050.0,27345.519,300.0,12.1
ΧΑΛΚΙΔΙΚΗ,5808.0,5808.0,484.0,484.0,12.0
ΧΑΛΚΔΙΚΗΣ,1088.52,1088.52,90.71,90.71,12.0
ΑΧΑΙΑΣ,226729.866,1387.08,19435.659,134.01,11.7
ΚΑΣΤΟΡΙΑΣ,22833.7,496.0,2098.854,49.601,10.9
ΕΒΡΟΥ,334413.3,4134.9,30813.515,500.0,10.9
ΑΡΚΑΔΙΑΣ,167738.35,1239.72,16627.682,124.2,10.1
ΕΥΒΟΙΑΣ,715743.561,1186.92,77208.508,109.651,9.3
ΠΙΕΡΙΑΣ,1040585.9205,1519.31,119672.869,232.0,8.7
ΣΕΡΡΩΝ,14538.18,1486.8,1730.51,150.0,8.4
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,84333.12,1119.12,10937.886,153.181,7.7
ΛΕΣΒΟΥ,100704.4923,1618.75,13850.57,208.0,7.3
ΒΟΙΩΤΙΑΣ,9282.22,445.05,1394.3120000000001,59.34,6.7
ΦΩΚΙΔΑΣ,63117.2965,460.725,9974.809000000001,80.021,6.3
ΠΡΕΒΕΖΑΣ,358259.2242,1610.0,57257.894,300.0,6.3
ΑΡΤΑΣ,1040.0,520.0,215.0,107.5,4.8
ΘΕΣΣΑΛΙΑΣ,90348.16,1287.5,18959.959,350.0,4.8
